Date,Open,High,Low,Close,Adj Close,Volume
1999-03-11,1.167969,1.562500,1.167969,1.464844,1.150338,86256000
1999-03-12,1.468750,1.523438,1.343750,1.457031,1.144202,19948800
1999-03-15,1.460938,1.460938,1.316406,1.324219,1.039905,6336000
1999-03-16,1.335938,1.382813,1.312500,1.312500,1.030702,4992000
1999-03-17,1.312500,1.398438,1.304688,1.320313,1.036838,7724800
1999-03-18,1.328125,1.386719,1.308594,1.343750,1.055243,4070400
1999-03-19,1.359375,1.359375,1.312500,1.312500,1.030702,2873600
1999-03-22,1.312500,1.375000,1.312500,1.320313,1.036838,3116800
1999-03-23,1.320313,1.320313,1.259766,1.261719,0.990824,4988800
1999-03-24,1.277344,1.296875,1.246094,1.273438,1.000027,5484800
1999-03-25,1.281250,1.324219,1.265625,1.320313,1.036838,2105600
1999-03-26,1.335938,1.453125,1.335938,1.417969,1.113527,3721600
1999-03-29,1.441406,1.441406,1.414063,1.433594,1.125797,2316800
1999-03-30,1.439453,1.441406,1.414063,1.417969,1.113527,2022400
1999-03-31,1.414063,1.417969,1.328125,1.347656,1.058311,1270400
1999-04-01,1.335938,1.343750,1.296875,1.304688,1.024567,1225600
1999-04-05,1.332031,1.394531,1.300781,1.359375,1.067513,1574400
1999-04-06,1.343750,1.367188,1.296875,1.302734,1.023033,1843200
1999-04-07,1.335938,1.375000,1.332031,1.343750,1.055243,2444800
1999-04-08,1.347656,1.431641,1.335938,1.398438,1.098189,3689600
1999-04-09,1.382813,1.382813,1.304688,1.375000,1.079784,2668800
1999-04-12,1.355469,1.398438,1.351563,1.369141,1.075182,1401600
1999-04-13,1.369141,1.382813,1.292969,1.308594,1.027635,2140800
1999-04-14,1.312500,1.320313,1.306641,1.308594,1.027635,1145600
1999-04-15,1.320313,1.320313,1.296875,1.308594,1.027635,1321600
1999-04-16,1.312500,1.367188,1.308594,1.359375,1.067513,1884800
1999-04-19,1.320313,1.328125,1.312500,1.312500,1.030702,979200
1999-04-20,1.312500,1.316406,1.250000,1.257813,0.987756,4089600
1999-04-21,1.242188,1.253906,1.226563,1.250000,0.981621,915200
1999-04-22,1.261719,1.351563,1.253906,1.351563,1.061378,3136000
1999-04-23,1.351563,1.359375,1.312500,1.332031,1.046040,3097600
1999-04-26,1.351563,1.351563,1.308594,1.316406,1.033770,320000
1999-04-27,1.339844,1.339844,1.234375,1.250000,0.981621,3513600
1999-04-28,1.250000,1.281250,1.246094,1.250000,0.981621,4848000
1999-04-29,1.250000,1.265625,1.246094,1.257813,0.987756,409600
1999-04-30,1.265625,1.300781,1.265625,1.291016,1.013831,1420800
1999-05-03,1.312500,1.328125,1.292969,1.312500,1.030702,1180800
1999-05-04,1.316406,1.316406,1.300781,1.300781,1.021500,1315200
1999-05-05,1.312500,1.335938,1.312500,1.314453,1.032236,844800
1999-05-06,1.314453,1.351563,1.314453,1.339844,1.052176,809600
1999-05-07,1.320313,1.378906,1.304688,1.378906,1.082851,2096000
1999-05-10,1.378906,1.378906,1.328125,1.339844,1.052176,924800
1999-05-11,1.328125,1.355469,1.328125,1.332031,1.046040,275200
1999-05-12,1.343750,1.351563,1.332031,1.343750,1.055243,822400
1999-05-13,1.351563,1.375000,1.339844,1.375000,1.079784,1955200
1999-05-14,1.351563,1.375000,1.351563,1.367188,1.073648,6016000
1999-05-17,1.355469,1.375000,1.355469,1.357422,1.065979,3356800
1999-05-18,1.363281,1.375000,1.312500,1.312500,1.030702,288000
1999-05-19,1.320313,1.343750,1.312500,1.343750,1.055243,2352000
1999-05-20,1.347656,1.433594,1.324219,1.425781,1.119662,3299200
1999-05-21,1.406250,1.457031,1.394531,1.441406,1.131932,2076800
1999-05-24,1.441406,1.488281,1.429688,1.480469,1.162608,1552000
1999-05-25,1.478516,1.625000,1.476563,1.550781,1.217824,6070400
1999-05-26,1.570313,1.574219,1.433594,1.574219,1.236229,4080000
1999-05-27,1.542969,1.574219,1.500000,1.546875,1.214756,1932800
1999-05-28,1.531250,1.562500,1.519531,1.554688,1.220892,3286400
1999-06-01,1.562500,1.566406,1.539063,1.562500,1.227469,1232000
1999-06-02,1.554688,1.558594,1.535156,1.558594,1.224400,416000
1999-06-03,1.558594,1.558594,1.542969,1.546875,1.215194,320000
1999-06-04,1.562500,1.562500,1.550781,1.550781,1.218263,576000
1999-06-07,1.550781,1.617188,1.550781,1.617188,1.270430,2121600
1999-06-08,1.703125,1.914063,1.695313,1.753906,1.377834,5424000
1999-06-09,1.750000,1.769531,1.515625,1.539063,1.209057,3356800
1999-06-10,1.562500,1.683594,1.554688,1.656250,1.301117,3456000
1999-06-11,1.687500,1.718750,1.660156,1.660156,1.304186,2115200
